																			
DeltaF=0 							DeltaF=1 							DeltaF=2 					
P=01							P=01							P=01					
 002x002x2 	0.016388406		0.0142375373		1.4907		 002x002x2 	0.0178406281		0.1348683019		1.7048		 002x002x2 	0.0179313		0.1235222378		1.8857
 004x004x2 	0.010789011	-0.603112917	0.0142088685	-0.0029079491	5.5455		 004x004x2 	0.0093669098	-0.9295213256	0.1444144976	0.098664269	6.4872		 004x004x2 	0.0090698577	-0.9833282613	0.1289326619	0.061846987	7.6465
 008x008x2 	0.005060008	-1.0923510368	0.0868542334	2.6118044972	25.4798		 008x008x2 	0.0039780966	-1.2354948664	0.0569945277	-1.3413202683	29.4441		 008x008x2 	0.0039157739	-1.2117824635	0.0558089193	-1.2080501651	34.7077
 016x016x2 	0.0025023917	-1.0158320743	0.0640234705	-0.439995287	178.6833		 016x016x2 	0.0013127455	-1.5994910387	0.0262107978	-1.1206621399	190.6944		 016x016x2 	0.0012891521	-1.6028749405	0.0259739096	-1.1034325265	232.5251
 032x032x2 	0.0012948956	-0.9504717944	0.0376465614	-0.7660827862	2019.2252		 032x032x2 	0.0004103417	-1.6776894308	0.0102520745	-1.354245403	1312.8839		 032x032x2 	0.0004033766	-1.6762231635	0.0101176632	-1.3601870655	1632.7439
 064x064x2 	0.0006379357	-1.0213528647	0.0172011917	-1.1300095781	30992.0428		 064x064x2 	0.000124	-1.7228200232	0.00428	-1.2585596714			 064x064x2 	   				
P=02							P=02							P=02					
 002x002x2 	0.0032734746		0.0778704235		3.7812		 002x002x2 	0.0030636293		0.043622079		4.9338		 002x002x2 	0.003112958		0.0434913118		4.8417
 004x004x2 	0.0016201051	-1.0147353798	0.0487534419	-0.6755713984	17.7694		 004x004x2 	0.0011503758	-1.4131365394	0.0262659703	-0.731863651	22.1981		 004x004x2 	0.0011437924	-1.4444608586	0.0255230976	-0.7689237915	26.352
 008x008x2 	0.0003124406	-2.3744334296	0.016730262	-1.5430440355	135.0602		 008x008x2 	0.0002166064	-2.4089574932	0.0063967253	-2.0377894426	142.3664		 008x008x2 	0.0002154941	-2.4081050811	0.006243414	-2.0313963892	204.4577
 016x016x2 	6.01139220434192E-005	-2.3778109956	0.0019412735	-3.1073847442	1524.5075		 016x016x2 	2.99646244506433E-005	-2.8537436139	0.0011769199	-2.4423173882	1725.9717		 016x016x2 	2.98586568004396E-005	-2.8514271015	0.0011712167	-2.4143270595	2126.3891
 032x032x2 	1.33931069407189E-005	-2.1662084729	0.0005566156	-1.8022501411	14373.9422		 032x032x2 	4.00015508321979E-006	-2.9051324541	0.0001634697	-2.8479212388	16775.2887		 032x032x2 	3.98931018585062E-006	-2.9039380583	0.0001630435	-2.8446789237	20042.8784
 064x064x2 	0.00000355	-1.9160193181	0.000131	-2.0888980536	74254.6701		 064x064x2 	0.00000058	-2.7853931157	0.000024	-2.7665054124	89406.145		 064x064x2 	   				
P=03							P=03							P=03					
 002x002x2 	0.0004242873		0.0113114841		8.2495		 002x002x2 	0.0003916135		0.0075349144		10.2108		 002x002x2 	0.0003932374		0.007814332		11.8637
 004x004x2 	0.0001883846	-1.1713609201	0.008178737	-0.46783825	67.6884		 004x004x2 	0.0001131198	-1.7915796984	0.0034023587	-1.1470558654	88.2078		 004x004x2 	0.0001123863	-1.8069344552	0.0033456373	-1.2238415048	109.984
 008x008x2 	1.76833845998023E-005	-3.4132143771	0.0008446974	-3.2753715569	662.1977		 008x008x2 	0.000010084	-3.4877147116	0.0005743645	-2.5664967521	778.7153		 008x008x2 	1.0180440023867E-005	-3.4645944374	0.0005776839	-2.5339289338	913.1916
 016x016x2 	1.26819455286688E-006	-3.8015464426	0.000159826	-2.4019324899	7502.6268		 016x016x2 	6.20130036647767E-007	-4.023349767	6.18401824485915E-005	-3.215350115	11998.2988		 016x016x2 	6.26761167795089E-007	-4.0217403118	0.000061987	-3.2202437727	12677.5545
