"Supersonic Euler Vortex,  ",,  Mach = 2.25,"Curved elements,",,Dirichlet Bcs,CFL=0.4,,Entropy-Roe Fluxes,,
P=1,L1,,L2,,Linf,,,CPU-time,Time-ratio,
016x04 ,0.0070948364,,0.0103684418,,0.03816165,,,0.6442,,
032x08 ,0.0024355629,-1.5425141934,0.0035080898,-1.5634415348,0.0133710405,-1.5130118109,,3.4432,5.3449239367,
064x16 ,0.000716257,-1.7657059722,0.0010343118,-1.7620145477,0.0040254869,-1.7318765384,,14.8163,4.3030611059,
128x32 ,0.0001847339,-1.9550286393,0.000267668,-1.9501546831,0.001113829,-1.8536354769,,98.2214,6.6292799147,
256x64 ,4.67374198865113E-005,-1.9827987174,6.8050817189741E-005,-1.9757601323,0.0002801985,-1.9910066704,,753.5941,7.6724023482,
P=2,,Err:502,,Err:502,,Err:502,,,0,
016x04 ,0.000180721,#DIV/0!,0.0003544845,#DIV/0!,0.0025199441,#DIV/0!,,2.6163,#DIV/0!,4.0613163614
032x08 ,2.00453430577688E-005,-3.1724249331,4.1125475159239E-005,-3.1076183161,0.0003120386,-3.0135953605,,12.4849,4.7719680465,3.6259584108
064x16 ,2.93408787401098E-006,-2.7722831236,0.000006239,-2.720638365,5.0783349775152E-005,-2.6192969913,,77.1412,6.178759942,5.2065090475
128x32 ,3.0023831205946E-007,-3.2887320898,6.46786680965766E-007,-3.2699602022,5.44769091792574E-006,-3.2206388037,,536.9029,6.9600019186,5.4662517537
256x64 ,3.72970069464412E-008,-3.0089763194,8.12003695021264E-008,-2.9937317727,6.92135277535755E-007,-2.9765189078,,4169.9465,7.7666678649,5.5334118194
P=3,,Err:502,,Err:502,,Err:502,,,0,#DIV/0!
016x04 ,6.32642940423116E-006,#DIV/0!,1.03635309739592E-005,#DIV/0!,5.21774630617422E-005,#DIV/0!,,6.2107,#DIV/0!,2.3738485648
032x08 ,3.66584065492767E-007,-4.1091754997,6.53086139971053E-007,-3.9880985281,4.33717938896905E-006,-3.5885977796,,40.7358,6.5589708084,3.262805469
064x16 ,2.57800047099067E-008,-3.8298196445,4.3800696046917E-008,-3.8982475899,2.46142721760378E-007,-4.1391901294,,269.8478,6.6243402609,3.4981021815
128x32 ,1.40810029639271E-009,-4.194430524,2.42728108662484E-009,-4.1735407044,0.000000015,-4.0373414678,,2031.9976,7.5301618171,3.7846649739
256x64 ,8.76658733276454E-011,-4.00559095,1.51555114841616E-010,-4.001426739,0.000000001,-3.9782834718,,15670.8892,7.7120608804,3.7580552173
