,,Supersonic Euler Vortex,,Conventional LGL oper,,No Penetration Bcs,, ,,
P1,,L1 error,,L2,,Linf error,,Leiden CPU,,tab16 CPU
3, 012x03 ,0.0280588521,,0.0493872255,,0.2766217096,,  ,,0.5622
4, 016x04 ,0.0191079203,-1.3355063757,0.0359588603,-1.1030102772,0.2355040521,-0.5593771712,0.7062,, 
6, 024x06 ,0.0107854724,-1.4104859723,0.0224972435,-1.1566537164,0.1728796419,-0.7624145033,  ,,1.3418
8, 032x08 ,0.0069527714,-1.5261977532,0.0159359252,-1.198603652,0.1378944768,-0.7859610684,3.3225,0.5880947324, 
12, 048x12 ,0.0036678249,-1.5773034701,0.0095959388,-1.250997997,0.1040574553,-0.6943767166,  ,#VALUE!,5.1157
16, 064x16 ,0.00228,-1.6560802581,0.00656,-1.3204707662,0.0848,-0.7104871667,15.1087,0.5684236268, 
24, 096x24 ,0.0011241143,-1.7416512118,0.0037293865,-1.3940051561,0.0616062776,-0.7886868672, ,#VALUE!,29.9817
32, 128x32 ,0.0006609738,-1.8459145931,0.0024567106,-1.4509782834,0.0477051702,-0.888911811,105.477,0.8726511877, 
48, 192x48 ,0.0003067566,-1.8932812468,0.0013478929,-1.4804745293,0.0320194838,-0.9833033407, ,#VALUE!,209.9611
64, 256x64 ,0.0001765352,-1.9206415277,0.000877406,-1.4923695373,0.0238685734,-1.0212034144,733.3009,0.8690293856, 
96, 384x96 ,8.03883801613368E-005,-1.9401198553,0.0004783598,-1.4960759504,0.0158648528,-1.0073777455, ,,1460.1152
P2 ,,,#VALUE!,,#VALUE!,,#VALUE!,,,
3, 012x03 ,0.000410414,#DIV/0!,0.0008001666,#DIV/0!,0.0043568703,#DIV/0!, ,,1.3
4, 016x04 ,0.0001914697,-2.6502751346,0.0003935796,-2.4663914803,0.0025724876,-1.8314684019,2.4948,0.6978193146, 
6, 024x06 ,5.98505697167026E-005,-2.8680117441,0.0001293761,-2.7439104756,0.0009046936,-2.5773666897, ,#VALUE!,4.2017
8, 032x08 ,2.55441523554696E-005,-2.9596648966,5.54109392445888E-005,-2.9475119673,0.000382464,-2.9927550174,12.8749,0.7654447324, 
12, 048x12 ,7.4561305881906E-006,-3.0369366031,1.62163864264894E-005,-3.0304822047,0.0001234778,-2.7883370125, ,#VALUE!,22.7265
16, 064x16 ,0.00000321,-2.9244706743,0.00000704,-2.8991852714,0.0000544,-2.8475372132,78.8738,1.0311946016, 
24, 096x24 ,9.67651739616175E-007,-2.9610484673,2.11824985241977E-006,-2.9629883831,1.68768887498505E-005,-2.8878698786, ,#VALUE!,144.1413
32, 128x32 ,4.11924478960383E-007,-2.9686668102,9.03546790658774E-007,-2.9616638299,7.27906336939199E-006,-2.9231677642,572.1938,1.0715694967, 
48, 192x48 ,1.23144799316224E-007,-2.9780099735,2.70736474512064E-007,-2.9723444603,2.20431127506693E-006,-2.9462142581, ,#VALUE!,695.4068
64, 256x64 ,5.2218134197988E-008,-2.9822194094,1.14923959856816E-007,-2.9785493085,0.00000094,-2.9625006761,4099.1262,1.1041905727, 
96, 384x96 ,1.55541102790706E-008,-2.9869522147,3.42799055529837E-008,-2.9835152971,2.81525978085284E-007,-2.9735908371, ,,5426.3109
P3 ,,,#VALUE!,,#VALUE!,,#VALUE!,,,
3, 012x03 ,1.75041241030516E-005,#DIV/0!,3.07176029705226E-005,#DIV/0!,0.000225964,#DIV/0!, ,,3.2629
4, 016x04 ,5.103531030109E-006,-4.2842567376,9.19607535854163E-006,-4.1923331026,6.35494005407633E-005,-4.4095829346,6.396,0.8111810065, 
6, 024x06 ,1.21189781315852E-006,-3.5459156873,2.26941731502945E-006,-3.4509842264,1.74775491226242E-005,-3.1837521623, ,#VALUE!,11.6138
8, 032x08 ,4.12751376276386E-007,-3.744054762,8.68860509928699E-007,-3.3373501013,7.66175146438286E-006,-2.8666247246,41.953,1.0310131656, 
12, 048x12 ,9.08785079113262E-008,-3.7323109938,2.15788876749167E-007,-3.4352699144,2.34931979292696E-006,-2.9154537548, ,#VALUE!,50.1079
16, 064x16 ,3.01E-008,-3.8407856004,7.64E-008,-3.6088400004,0.000000962,-3.1024821072,269.9265,1.0828238482, 
24, 096x24 ,6.1527165999842E-009,-3.9157615184,1.82331333107724E-008,-3.5338712446,2.87460452774724E-007,-2.9799539188, ,#VALUE!,348.72
32, 128x32 ,0.000000002,-3.9473741226,6.56253131240603E-009,-3.5520602397,1.22508804878407E-007,-2.9647394569,2050.9278,1.1341024216, 
48, 192x48 ,3.99326459621829E-010,-3.9443121236,1.57729313860708E-009,-3.5161255467,3.65744270425239E-008,-2.9813505485, ,#VALUE!,2405.5406
64, 256x64 ,1.27893344156239E-010,-3.9577808912,5.74381709182673E-010,-3.5114154695,1.54912980221411E-008,-2.986181328,15366.0455,1.1860851793, 
96, 384x96 ,2.56318832820283E-011,-3.9642366714,1.38500685849547E-010,-3.5081166489,4.6164378986191E-009,-2.9858427619, ,,20623.3345
P4 ,,,#VALUE!,,#VALUE!,,#VALUE!,,,
3, 012x03 ,0.000000432,#DIV/0!,7.45620839978029E-007,#DIV/0!,0.000006374,#DIV/0!, ,,7.3497
4, 016x04 ,1.2184583347768E-007,-4.3993593643,0.000000252,-3.7711440834,2.4599129659908E-006,-3.309537096,15.9137,1.0191137461, 
6, 024x06 ,2.14713560006341E-008,-4.2815936146,5.20571155935803E-008,-3.8893239986,4.97109440722454E-007,-3.9437944527, ,#VALUE!,29.4531
8, 032x08 ,5.79195445796453E-009,-4.5545068712,1.39343355655475E-008,-4.5813960618,1.44343720753781E-007,-4.2985396655,111.6519,1.0900917274, 
12, 048x12 ,8.96834142626538E-010,-4.6005293456,2.21400649391063E-009,-4.5368939883,2.30951273660906E-008,-4.5196879081, ,#VALUE!,162.3872
16, 064x16 ,2.32E-010,-4.6975340763,5.77E-010,-4.6757357862,0.000000006,-4.6684586167,751.3356,1.1401142969, 
24, 096x24 ,3.32969032921618E-011,-4.7895864944,8.32263319239773E-011,-4.774442632,8.75967964830693E-010,-4.7575377726, ,#VALUE!,1439.6916
32, 128x32 ,8.22170347454421E-012,-4.8619191442,2.06684136347427E-011,-4.8420019775,2.21843654557574E-010,-4.7738694098,5744.02,1.147164026, 
48, 192x48 ,1.33220331227153E-012,-4.4885322787,2.93782490425387E-012,-4.8116030343,6.483436010285E-011,-3.033891546, ,#VALUE!,7697.4755
64, 256x64 ,7.89E-013,-1.819258193,1.31E-012,-2.8053962431,7.91E-011,0.6933112499,43995.6314,1.1727552558,
96, 384x96,,Err:502,,Err:502,,Err:502,,,
